ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/18/2024 - 1,0.3,"3,026.0","1,011.5",14.4,"5,850.0",14.4,0.9,0.2,"1,068.7","2,226.4",1.1,0.1,0.1,239.9,37.5,0.1,0.1,1.8,1.3,0.0,-0.1,14.4,0.0,0.0,0.0,0.0,16.0,0.1,0.1
03/18/2024 - 2,0.4,"3,279.3","1,009.7",9.1,"5,694.6",0.2,0.9,0.2,"1,054.7","2,265.6",0.7,0.0,0.2,42.6,1.0,0.0,0.2,1.1,0.3,0.0,-0.3,14.2,-0.1,0.0,0.0,0.0,13.7,0.0,0.0
03/18/2024 - 3,0.3,"2,973.3","1,013.6",14.2,"5,827.5",15.6,0.9,0.0,"1,064.6","2,200.7",0.8,0.0,0.1,239.0,37.3,0.1,0.1,1.8,0.8,0.0,-0.4,14.3,-0.2,0.0,0.0,0.0,15.9,0.0,0.0
03/18/2024 - 4,0.4,"3,272.1","1,023.7",3.0,"5,775.0",0.2,1.0,0.1,"1,086.7","2,272.3",0.5,-0.1,0.1,43.6,1.1,0.0,0.3,1.2,0.1,0.0,-0.5,14.5,-0.2,0.0,0.0,0.0,12.8,0.0,0.0
03/18/2024 - 5,0.3,"3,009.2","1,009.7",14.1,"5,833.0",16.7,1.0,0.0,"1,082.6","2,229.8",0.8,0.0,0.1,247.3,39.0,0.1,0.1,1.9,1.9,0.0,-0.4,14.3,-0.2,0.0,0.0,0.0,15.9,0.0,0.0
03/18/2024 - 6,0.3,"3,255.9","1,017.6",2.7,"5,712.7",0.0,0.9,0.0,"1,073.6","2,260.2",0.4,-0.1,0.1,41.2,0.8,0.0,0.2,1.1,0.1,0.0,-0.5,14.3,-0.3,0.0,0.0,0.0,13.3,0.0,0.0
03/18/2024 - 7,0.3,"2,946.5","1,008.0",13.2,"5,946.6",17.5,0.8,-0.1,"1,085.1","2,217.5",0.7,0.0,0.2,345.4,79.4,0.2,0.1,2.4,0.8,-0.1,-0.7,14.2,-0.3,0.0,0.0,0.0,17.1,0.0,0.0
03/18/2024 - 8,0.3,"3,226.2","1,019.9",2.5,"5,939.6",0.0,0.9,0.0,"1,112.1","2,282.1",0.4,-0.1,0.1,67.8,1.5,0.0,0.2,1.4,-0.1,-0.1,-0.5,14.4,-0.3,0.0,0.0,0.0,14.6,0.0,0.0
