DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2024-07-08T13:07:16Z,-0.101,27.6307,1.6247,21.5179,45.35985,43.09,8.712,110.773,9.837,2.5652,251.98,2.163659847072329,0.006,0
2024-07-08T13:07:16Z,-0.099,27.6222,1.6059,21.4284,45.328883,43.059,8.7191,110.761,9.837,2.6757,250.77,2.1623886140675865,0.005,0
2024-07-08T13:07:16Z,-0.097,27.6232,1.6087,21.3639,45.29784,43.031,8.7265,110.767,9.838,2.6979,250.01,2.16085071874135,0.004,0
2024-07-08T13:07:16Z,-0.097,27.6228,1.6259,21.3873,45.30189,43.041,8.7308,110.741,9.84,2.7476,249.23,2.1614018466718705,0.003,0
2024-07-08T13:07:16Z,-0.097,27.6256,1.6304,21.4039,45.314367,43.058,8.7271,110.671,9.842,2.8466,249.89,2.162182630596562,0.003,0
2024-07-08T13:07:16Z,-0.097,27.6328,1.6214,21.4284,45.321747,43.068,8.7241,110.636,9.843,2.9482,251.06,2.162392590568853,0.004,0
2024-07-08T13:07:16Z,-0.097,27.6294,1.6164,21.5131,45.327629,43.08,8.7272,110.646,9.844,3.0299,251.52,2.163185027050113,0.005,0
2024-07-08T13:07:16Z,-0.095,27.6183,1.612,21.5731,45.321987,43.085,8.729,110.674,9.844,3.0606,251.05,2.1639502325683746,0.007,0
2024-07-08T13:07:16Z,-0.092,27.6118,1.61,21.6417,45.316993,43.089,8.7188,110.733,9.844,3.0612,249.15,2.164455619925371,0.007,0
2024-07-08T13:07:16Z,-0.089,27.6115,1.6163,21.6595,45.33072,43.105,8.7173,110.775,9.845,3.0368,247.26,2.1653224405634504,0.006,0
2024-07-08T13:07:16Z,-0.086,27.6034,1.6134,21.5839,45.360992,43.134,8.7216,110.711,9.847,3.0242,248.28,2.167233803892329,0.004,0
2024-07-08T13:07:16Z,-0.086,27.5876,1.6094,21.5472,45.365618,43.139,8.7233,110.53,9.849,3.0802,252.21,2.1682120342407525,0.002,0
2024-07-08T13:07:16Z,-0.087,27.5766,1.6171,21.5909,45.323177,43.101,8.7324,110.335,9.851,3.1977,255.65,2.1666792068895946,0.001,0
2024-07-08T13:07:16Z,-0.089,27.5727,1.6231,21.6006,45.292188,43.075,8.7388,110.233,9.852,3.3258,257.12,2.165466918989972,0,0
2024-07-08T13:07:16Z,-0.089,27.5737,1.6321,21.5281,45.308319,43.093,8.7353,110.257,9.852,3.4255,257.42,2.1663827588273947,0,0
2024-07-08T13:07:16Z,-0.088,27.5749,1.643,21.4313,45.327776,43.11,8.7161,110.382,9.853,3.5425,256.95,2.1672361625001706,0,0
2024-07-08T13:07:16Z,-0.086,27.5731,1.6376,21.3173,45.337007,43.115,8.6977,110.525,9.853,3.5357,255.84,2.1675841145807055,0.001,0
2024-07-08T13:07:16Z,-0.086,27.566,1.6344,21.3123,45.356464,43.129,8.6909,110.636,9.853,3.6017,254.76,2.1686513972482073,0.001,0
2024-07-08T13:07:16Z,-0.087,27.5621,1.645,21.4043,45.372601,43.134,8.6926,110.739,9.848,4.2543,254.41,2.169094152486403,0.002,0
2024-07-08T13:07:16Z,-0.088,27.5651,1.65,21.4058,45.40517,43.146,8.7062,110.866,9.837,5.4036,250.26,2.1695997026118494,0.003,0
2024-07-08T13:07:16Z,-0.088,27.5693,1.6527,21.3638,45.432881,43.148,8.718,111.001,9.82,6.4846,231.71,2.1695171553861368,0.004,0
2024-07-08T13:07:16Z,-0.086,27.5744,1.6449,21.3411,45.390301,43.088,8.7248,111.101,9.802,7.2584,190.41,2.1660842907717837,0.005,0
2024-07-08T13:07:16Z,-0.083,27.5846,1.6305,21.5064,45.334733,43.029,8.7299,111.155,9.787,8.1341,138.81,2.1624766864919702,0.005,0
2024-07-08T13:07:16Z,-0.079,27.6079,1.6361,21.9275,45.332332,43.034,8.7369,111.159,9.773,9.0702,121.1,2.1616970023408686,0.003,0
2024-07-08T13:07:16Z,-0.078,27.6437,1.6459,22.1973,45.361252,43.074,8.7439,111.114,9.762,9.5435,155.86,2.162222764426127,-0.002,0
2024-07-08T13:07:16Z,-0.078,27.6739,1.6489,22.1722,45.366992,43.093,8.7467,111.047,9.753,9.641,207.42,2.1618801688867273,-0.007,0
2024-07-08T13:07:16Z,-0.083,27.6772,1.6562,21.8967,45.338227,43.075,8.751,111.004,9.749,9.7329,240.75,2.1607735097511016,-0.01,0
2024-07-08T13:07:16Z,-0.089,27.665,1.6672,21.5314,45.330838,43.074,8.753,110.964,9.747,9.8799,250.39,2.1612673982606947,-0.011,0
2024-07-08T13:07:16Z,-0.094,27.6481,1.6827,21.4107,45.341122,43.09,8.7518,110.87,9.745,9.8689,254.54,2.162878416044319,-0.01,0
2024-07-08T13:07:16Z,-0.096,27.6292,1.7022,21.4272,45.335607,43.092,8.7471,110.734,9.745,9.7724,264.19,2.16383382299126,-0.007,0
2024-07-08T13:07:16Z,-0.096,27.6193,1.6949,21.4584,45.32762,43.09,8.7457,110.603,9.746,9.832,275.91,2.16417196579227,-0.002,0
2024-07-08T13:07:16Z,-0.095,27.6137,1.6528,21.514,45.308015,43.075,8.747,110.504,9.747,9.9878,283.58,2.163623575962216,0.002,0
2024-07-08T13:07:16Z,-0.093,27.6069,1.6254,21.5535,45.288992,43.059,8.7389,110.437,9.748,10.021,283.51,2.1630756366542543,0.004,0
2024-07-08T13:07:16Z,-0.091,27.5962,1.6306,21.6285,45.288047,43.061,8.7287,110.369,9.751,9.8891,283.09,2.163663060384619,0.005,0
2024-07-08T13:07:16Z,-0.09,27.5873,1.6409,21.6349,45.296589,43.069,8.7189,110.294,9.754,9.77,286.82,2.1644899848602157,0.005,0
2024-07-08T13:07:16Z,-0.089,27.5859,1.6411,21.4939,45.32879,43.096,8.711,110.266,9.758,9.7004,289.75,2.165993795155721,0.004,0
2024-07-08T13:07:16Z,-0.088,27.5838,1.6338,21.359,45.360001,43.122,8.7076,110.339,9.76,9.6493,288.56,2.1674759114826454,0.003,0
2024-07-08T13:07:16Z,-0.087,27.5787,1.619,21.3699,45.356586,43.116,8.7034,110.466,9.763,9.5822,285.42,2.167385319185858,0.002,0
2024-07-08T13:07:16Z,-0.087,27.5772,1.6121,21.4553,45.350976,43.107,8.6961,110.546,9.767,9.4914,283.51,2.1669724418872316,0.001,0
2024-07-08T13:07:16Z,-0.086,27.5825,1.6248,21.4696,45.355653,43.107,8.6905,110.557,9.772,9.4975,283.55,2.166733819605137,-0.001,0
2024-07-08T13:07:16Z,-0.086,27.5884,1.6392,21.4064,45.349673,43.097,8.6969,110.541,9.775,9.5703,284.67,2.1659346099145522,-0.002,0
2024-07-08T13:07:16Z,-0.087,27.5916,1.6362,21.3397,45.342152,43.085,8.7108,110.539,9.777,9.5103,286.68,2.1651503330688104,-0.002,0
2024-07-08T13:07:16Z,-0.089,27.5974,1.6555,21.4147,45.328205,43.066,8.7161,110.569,9.778,9.3749,289.1,2.163875867113124,-0.002,0
2024-07-08T13:07:16Z,-0.09,27.6031,1.7144,21.5958,45.308008,43.045,8.7144,110.61,9.78,9.3095,289.35,2.162499520067042,-0.001,0
2024-07-08T13:07:16Z,-0.089,27.6052,1.7486,21.6841,45.288383,43.031,8.712,110.62,9.783,9.2362,286.35,2.1616584253401383,0,0
2024-07-08T13:07:16Z,-0.088,27.6119,1.7619,21.663,45.281359,43.034,8.7097,110.586,9.785,9.2632,282.71,2.161517628196883,0.002,0
2024-07-08T13:07:16Z,-0.088,27.6225,1.7667,21.5793,45.286535,43.049,8.7112,110.498,9.788,9.3782,280.66,2.1618417173395033,0.002,0
