Reservoir,Site,DateTime,Depth_m,Rep,CH4_umolL,CO2_umolL,Flag_DateTime,Flag_CH4_umolL,Flag_CO2_umolL
FCR,50,2024-01-29 09:55:00,0.1,1,0.09335833301374687,64.72334215316856,0,4,4
FCR,50,2024-01-29 09:55:00,0.1,2,NA,NA,0,1,1
FCR,50,2024-01-29 10:10:00,1.6,1,0.116984244130623,69.00289486435722,0,0,0
FCR,50,2024-01-29 10:10:00,1.6,2,0.12088104736925379,71.29150231847296,0,0,0
FCR,50,2024-01-29 10:17:00,3.8,1,0.11908026177574682,69.00915234072816,0,0,0
FCR,50,2024-01-29 10:17:00,3.8,2,0.12801993717422958,66.42273984311574,0,0,0
FCR,50,2024-01-29 10:20:00,5,1,0.1174034713930231,65.52623288219753,0,0,0
FCR,50,2024-01-29 10:20:00,5,2,0.1393419745436231,78.67270783086188,0,0,0
FCR,50,2024-01-29 10:35:00,6.2,1,0.12570793480438053,72.19104256508403,0,0,0
FCR,50,2024-01-29 10:35:00,6.2,2,0.13189832391435316,70.87904404018757,0,0,0
FCR,50,2024-01-29 10:45:00,8,1,0.12645278039490668,75.72806673171243,0,0,0
FCR,50,2024-01-29 10:45:00,8,2,0.14312439247387537,84.96693587881583,0,0,0
FCR,50,2024-01-29 10:55:00,9,1,0.13135541101684325,66.96165774148645,0,0,0
FCR,50,2024-01-29 10:55:00,9,2,0.1259872562958973,74.61228690108847,0,0,0
FCR,1.1,2024-01-29 11:20:00,0.1,1,1.298671431704181,479.19732850617936,0,0,0
FCR,1.1,2024-01-29 11:20:00,0.1,2,1.4669517355810446,483.23833016365984,0,0,0
FCR,100,2024-01-29 13:13:00,0.1,1,0.022114307751418788,32.76633685352362,0,0,0
FCR,100,2024-01-29 13:13:00,0.1,2,0.05065119934615177,34.00692508064656,0,0,0
FCR,50,2024-02-13 11:47:00,0.1,1,0.11523592970516083,34.243856407334995,0,0,0
FCR,50,2024-02-13 11:47:00,0.1,2,0.1064746452435321,35.90447137403445,0,0,0
FCR,50,2024-02-13 11:55:00,1.6,1,0.0954299785937716,32.97966391296375,0,0,0
FCR,50,2024-02-13 11:55:00,1.6,2,0.09475693980153195,36.0005956927147,0,0,0
FCR,50,2024-02-13 12:05:00,3.8,1,0.11124566418290929,41.2917288888191,0,4,4
FCR,50,2024-02-13 12:05:00,3.8,2,NA,NA,0,1,1
FCR,50,2024-02-13 12:13:00,5,1,0.08200514409417542,37.300936611046744,0,0,0
FCR,50,2024-02-13 12:13:00,5,2,0.11408260358543489,44.40609272746619,0,0,0
FCR,50,2024-02-13 12:23:00,6.2,1,0.07771718053973369,54.79167679237283,0,0,0
FCR,50,2024-02-13 12:23:00,6.2,2,0.12128163491101104,46.1585457445187,0,0,0
FCR,50,2024-02-13 12:31:00,8,1,0.018859749686363277,65.9301829927238,0,0,0
