Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/8/2024 9:29:46 AM	13.94	0.00	5.84	1.28	0.00	0.00	0.00	0.00	21.07	86.56	0.03	27.32	7389	0	2630	38	0	0	0	0	10057	157.88	23.67	5.55	22.18	46.76	25.30	77.44	1.00	24.15	24.33
7/8/2024 9:29:49 AM	14.55	0.00	4.93	1.63	0.00	0.00	0.00	0.00	21.11	87.28	0.09	27.26	7713	0	2218	49	0	0	0	0	9979	159.18	22.83	6.31	21.64	46.31	26.57	77.64	1.01	24.21	24.33
7/8/2024 9:29:51 AM	13.87	0.00	5.94	1.53	0.00	0.00	0.00	0.00	21.35	87.41	0.13	27.16	7352	0	2675	46	0	0	0	0	10073	159.42	24.24	6.50	22.76	46.40	26.15	79.37	1.01	24.27	24.47
7/8/2024 9:29:55 AM	12.92	0.00	7.40	1.04	0.00	0.00	0.00	0.00	21.36	86.66	0.19	26.90	6848	0	3331	31	0	0	0	0	10210	158.06	25.44	6.02	20.29	47.22	26.14	79.99	1.02	24.30	24.39
7/8/2024 9:29:57 AM	12.79	0.00	7.55	0.91	0.00	0.00	0.00	0.00	21.26	86.71	0.26	26.98	6780	0	3398	27	0	0	0	0	10205	158.15	25.24	6.12	21.19	46.43	25.06	79.93	1.03	24.37	24.46
7/8/2024 9:30:00 AM	13.15	0.00	6.87	1.42	0.00	0.00	0.00	0.00	21.44	86.89	0.27	27.07	6972	0	3094	42	0	0	0	0	10108	158.47	25.26	6.73	22.52	45.88	26.27	80.97	1.03	24.40	24.47
7/8/2024 9:30:03 AM	13.68	0.00	6.93	0.99	0.00	0.00	0.00	0.00	21.59	87.07	0.28	27.08	7248	0	3118	30	0	0	0	0	10395	158.80	24.50	5.23	21.41	46.38	25.89	81.17	1.03	24.46	24.44
7/8/2024 9:30:05 AM	13.30	0.00	6.97	1.26	0.00	0.00	0.00	0.00	21.53	86.62	0.28	27.04	7050	0	3135	38	0	0	0	0	10223	157.98	25.17	7.02	21.94	46.74	25.93	80.83	1.03	24.49	24.54
7/8/2024 9:30:09 AM	12.40	0.00	6.96	1.10	0.00	0.00	0.00	0.00	20.46	86.86	0.29	26.97	6573	0	3131	33	0	0	0	0	9737	158.42	24.53	6.10	20.69	45.32	24.79	76.40	1.03	24.54	24.55
