Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/8/2024 12:36:13 PM	1.21	28.35	5.23	0.00	0.00	0.00	0.00	2.43	34.79	74.42	0.00	27.83	639	28353	2353	0	0	0	0	0	31344	135.74	37.31	23.25	112.16	73.89	104.83	49.11	1.00	23.18	22.40
7/8/2024 12:36:15 PM	4.96	27.97	4.06	0.00	0.00	0.00	0.00	2.08	36.99	74.62	0.07	27.79	2630	27968	1826	0	0	0	0	0	32425	136.10	36.25	20.58	114.22	74.65	103.90	54.15	1.01	23.18	22.32
7/8/2024 12:36:18 PM	4.67	28.20	3.30	0.00	0.00	0.00	0.00	2.26	36.16	74.96	0.13	28.03	2473	28203	1484	0	0	0	0	0	32159	136.73	35.35	16.72	113.71	74.77	104.96	51.44	1.01	23.24	22.38
7/8/2024 12:36:21 PM	9.32	28.92	2.55	0.00	0.00	0.00	0.00	1.57	40.79	76.39	0.16	28.22	4941	28917	1146	0	0	0	0	0	35004	139.34	34.63	23.66	118.91	74.83	109.13	59.17	1.02	23.29	22.38
7/8/2024 12:36:24 PM	3.62	28.53	7.27	0.00	0.00	0.00	0.00	1.62	39.42	75.23	0.17	28.02	1917	28534	3272	0	0	0	0	0	33723	137.22	41.82	21.00	117.14	73.54	108.64	59.53	1.02	23.28	22.40
7/8/2024 12:36:26 PM	6.49	28.44	3.34	0.23	0.00	0.00	0.00	1.90	38.50	75.96	0.19	27.29	3442	28439	1504	7	0	0	0	0	33392	138.55	35.82	21.78	114.18	74.86	109.64	56.15	1.02	23.35	22.43
7/8/2024 12:36:29 PM	6.63	28.87	3.61	0.00	0.00	0.00	0.00	1.84	39.11	76.43	0.20	27.47	3513	28872	1623	0	0	0	0	0	34008	139.42	36.03	21.38	115.73	74.86	110.50	56.49	1.02	23.38	22.46
7/8/2024 12:36:31 PM	5.19	28.40	5.26	0.00	0.00	0.00	0.00	1.74	38.84	77.61	0.19	27.53	2751	28397	2366	0	0	0	0	0	33514	141.56	38.61	19.52	116.03	73.78	107.78	57.44	1.02	23.41	22.53
7/8/2024 12:36:34 PM	4.45	28.94	4.69	0.00	0.00	0.00	0.00	1.88	38.07	74.91	0.21	27.28	2357	28937	2108	0	0	0	0	0	33403	136.64	37.43	21.65	116.81	73.07	108.25	53.89	1.02	23.43	22.53
