"Reservoir","Site","DateTime","CastID","Depth_m","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","TotalConc_ugL","YellowSubstances_ugL","Temp_C","Transmission_perc","RFU_370nm","RFU_470nm","RFU_525nm","RFU_570nm","RFU_590nm","RFU_610nm","Flag_GreenAlgae_ugL","Flag_Bluegreens_ugL","Flag_BrownAlgae_ugL","Flag_MixedAlgae_ugL","Flag_YellowSubstances_ugL","Flag_TotalConc_ugL","Flag_Temp_C","Flag_Transmission_perc","Flag_RFU_525nm","Flag_RFU_570nm","Flag_RFU_610nm","Flag_RFU_370nm","Flag_RFU_590nm","Flag_RFU_470nm"
"FCR",50,2024-01-29 20:00:54,1160,0.2,11.16,0,5,0,16.16,0.66,7.4,100,31.16,62.97,20.76,4.16,17.49,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:00:57,1160,0.21,11.01,0,5.67,0,16.68,0.55,6.2,100,30.61,65.09,21.8,4.89,16.68,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:00:59,1160,0.23,10.4,0,5.62,0,16.01,0.7,6.17,100,31.56,63.5,21.81,4.99,17.53,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:01,1160,0.27,11.09,0,5.98,0,17.07,0.51,6.31,100,30.92,66.16,22.56,4.38,17.76,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:04,1160,0.31,11.14,0,5.58,0.29,17.02,0.48,6.11,100,30.73,65.21,22.51,4.71,20.06,16.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:06,1160,0.38,11.92,0.1,5.91,0,17.94,0.42,6.65,100,31.41,67.31,22.88,4.61,19.29,18.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:08,1160,0.46,10.62,0,6.81,0,17.43,0.53,6.35,100,31.86,68.49,24.2,5.18,19.03,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:11,1160,0.51,10.51,0,6.95,0,17.46,0.57,5.73,100,32.58,68.64,24.72,5.28,19.08,17.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:13,1160,0.57,11.2,0,6.27,0,17.46,0.62,5.82,100,32.56,68.95,23.38,5.45,18.77,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:16,1160,0.62,11.93,0,6.48,0,18.41,0.36,5.78,100,31.41,69.88,23.89,4.01,19.56,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2024-01-29 20:01:18,1160,0.69,11.38,0,6.05,0,17.43,0.53,5.87,100,31.66,67.48,23.03,3.02,19.52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
